Symbol,Name,Price,Change,% Change,Market Cap,Volume in Currency,Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply

BTC-USD,Bitcoin USD,"27,136.348",-78.8731,-0.2898%,529.001B,13.266B,13.266B,13.266B,19.491M,,
ETH-USD,Ethereum USD,"1,622.7241",-20.8805,-1.2704%,195.135B,5.135B,5.135B,5.135B,120.227M,,
USDT-USD,Tether USDt USD,1.00,-0.0002,-0.0175%,83.161B,20.81B,20.81B,20.81B,83.162B,,
BNB-USD,BNB USD,214.1861,-2.9704,-1.3679%,32.956B,370.631M,370.631M,370.631M,153.848M,,
XRP-USD,XRP USD,0.521,+0.0078,+1.517%,27.702B,1.081B,1.081B,1.081B,53.175B,,
USDC-USD,USD Coin USD,0.9999,-0.0001,-0.0089%,25.959B,3.107B,3.107B,3.107B,25.959B,,
STETH-USD,Lido Staked ETH USD,"1,623.8885",-23.9146,-1.4513%,14.138B,3.689M,3.689M,3.689M,8.702M,,
DOGE-USD,Dogecoin USD,0.0626,-0.0001,-0.0996%,8.837B,187.47M,187.47M,187.47M,141.09B,,
ADA-USD,Cardano USD,0.2514,-0.004,-1.5722%,8.829B,106.414M,106.414M,106.414M,35.112B,,
WTRX-USD,Wrapped TRON USD,0.0845,+0.0016,+1.9233%,8.595B,"188,493","188,493","188,493",101.676B,,
SOL-USD,Solana USD,20.3032,+0.2659,+1.327%,8.353B,233.023M,233.023M,233.023M,411.417M,,
TON11419-USD,Toncoin USD,2.4091,-0.1674,-6.4958%,8.28B,53.661M,53.661M,53.661M,3.432B,,
TRX-USD,TRON USD,0.0845,-0.00,-0.0458%,7.535B,148.124M,148.124M,148.124M,89.155B,,
DAI-USD,Dai USD,0.9996,-0.0001,-0.0132%,5.347B,90.906M,90.906M,90.906M,5.348B,,
DOT-USD,Polkadot USD,4.1407,-0.0156,-0.3749%,5.075B,94.47M,94.47M,94.47M,1.225B,,
MATIC-USD,Polygon USD,0.5418,-0.0024,-0.4467%,5.05B,217.918M,217.918M,217.918M,9.319B,,
LTC-USD,Litecoin USD,64.544,-2.7918,-4.1461%,4.756B,406.358M,406.358M,406.358M,73.675M,,
WBTC-USD,Wrapped Bitcoin USD,"27,098.71",-76.3008,-0.2808%,4.416B,139.978M,139.978M,139.978M,"162,974",,
SHIB-USD,Shiba Inu USD,0.00,+0.00,+0.4805%,4.386B,89.141M,89.141M,89.141M,589.347T,,
BCH-USD,Bitcoin Cash USD,215.4822,-3.5073,-1.6016%,4.205B,219.615M,219.615M,219.615M,19.51M,,
LINK-USD,Chainlink USD,6.9167,+0.0292,+0.4242%,3.852B,220.252M,220.252M,220.252M,556.85M,,
LEO-USD,UNUS SED LEO USD,3.8377,+0.112,+3.0071%,3.569B,"519,222","519,222","519,222",929.259M,,
WKAVA-USD,Wrapped Kava USD,6.8145,+0.0115,+0.1697%,3.386B,"4,940","4,940","4,940",497.669M,,
TUSD-USD,TrueUSD USD,0.9991,-0.00,-0.0006%,3.267B,355.428M,355.428M,355.428M,3.27B,,
XLM-USD,Stellar USD,0.117,-0.0014,-1.1669%,3.241B,59.578M,59.578M,59.578M,27.695B,,
